PT	AU	TI	PY	SO	SE	BP	EP	AB	DT	PD	DI	methods	domains	IF	Cite	partition
J	Rasheed, Iftikhar; Hu, Fei; Zhang, Lin	Deep reinforcement learning approach for autonomous vehicle systems for maintaining security and safety using LSTM-GAN	2020	VEHICULAR COMMUNICATIONS				The success of autonomous vehicles (AV hs) depends upon the effectiveness of sensors being used and the accuracy of communication links and technologies being employed. But these sensors and communication links have great security and safety concerns as they can be attacked by an adversary to take the control of an autonomous vehicle by influencing their data. Especially during the state estimation process for monitoring of autonomous vehicles' dynamics system, these concerns require immediate and effective solution. In this paper we present a new adversarial deep reinforcement learning algorithm (NDRL) that can be used to maximize the robustness of autonomous vehicle dynamics in the presence of these attacks. In this approach the adversary tries to insert defective data to the autonomous vehicle's sensor readings so that it can disrupt the safe and optimal distance between the autonomous vehicles traveling on the road. The attacker tries to make sure that there is no more safe and optimal distance between the autonomous vehicles, thus it may lead to the road accidents. Further attacker can also add fake data in such a way that it leads to reduced traffic flow on the road. On the other hand, autonomous vehicle will try to defend itself from these types of attacks by maintaining the safe and optimal distance i.e. by minimizing the deviation so that adversary does not succeed in its mission. This attacker-autonomous vehicle action reaction can be studied through the game theory formulation with incorporating the deep learning tools. Each autonomous vehicle will use Long-Short-Term-Memory (LSTM)-Generative Adversarial Network (GAN) models to find out the anticipated distance variation resulting from its actions and input this to the new deep reinforcement learning algorithm (NDRL) which attempts to reduce the variation in distance. Whereas attacker also chooses deep reinforcement learning algorithm (NDRL) and wants to maximize the distance variation between the autonomous vehicles. (c) 2020 Elsevier Inc. All rights reserved.	Article	DEC 2020	10.1016/j.vehcom.2020.100266	[]	[]	-1	-1	-1
J	Fu Yihao; Bao Hong; Liang Tianjiao; Fu Dongpu; Pan Feng	Research on decision algorithm for autonomous vehicle lane change based on vision DQN	2023	Transducer and Microsystem Technology		52	55	Unmanned driving technology is current research hotspot in the field of artificial intelligence(AI). Traditional deep Q network(DQN)has problems such as slow convergence speed in the vision-based lane change decision. Aiming at this problem,a vision-based DQN autonomous vehicle lane-changing decision model is proposed. Visual perception based on the attention mechanism is fused with DQN to focus the network on important image features,and introduces the Q-Masking mechanism to reduce the complexity of decision-making and speed up the convergence speed of DQN training. Finally,a DQN-based speed decision algorithm is proposed to form a complete lane changing decision model,which is trained and tested in a simulation environment. The experimental results show that the proposed model can realize a faster lane change decision-making strategy,and accelerate the convergence speed of DQN,at the same time.	Article	2023		[]	[]	-1	-1	-1
C	Mokhtari, Kasra; Wagner, Alan R.	Don't Get into Trouble! Risk-aware Decision-Making for Autonomous Vehicles	2022	2022 31ST IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN 2022)		1570	1577	Risk is traditionally described as the expected likelihood of an undesirable outcome, such as a collision for an autonomous vehicle. Accurately predicting risk or potentially risky situations is critical for the safe operation of an autonomous vehicle. This work combines use of a controller trained to navigate around individuals in a crowd and a risk-based decision-making framework for an autonomous vehicle that integrates high-level risk-based path planning with a reinforcement learning-based lowlevel control. We evaluated our method using a high-fidelity simulation environment. We show our method results in zero collisions with pedestrians and predicted the least risky path, time to travel, or day to travel in approximately 72% of traversals. This work can improve safety by allowing an autonomous vehicle to one day avoid and react to risky situations.	Proceedings Paper	2022	10.1109/RO-MAN53752.2022.9900795	[]	[]	-1	-1	-1
J	Bin Issa, Razin; Das, Modhumonty; Rahman, Md. Saferi; Barua, Monika; Rhaman, Md. Khalilur; Ripon, Kazi Shah Nawaz; Alam, Md. Golam Rabiul	Double Deep Q-Learning and Faster R-CNN-Based Autonomous Vehicle Navigation and Obstacle Avoidance in Dynamic Environment	2021	SENSORS				Autonomous vehicle navigation in an unknown dynamic environment is crucial for both supervised- and Reinforcement Learning-based autonomous maneuvering. The cooperative fusion of these two learning approaches has the potential to be an effective mechanism to tackle indefinite environmental dynamics. Most of the state-of-the-art autonomous vehicle navigation systems are trained on a specific mapped model with familiar environmental dynamics. However, this research focuses on the cooperative fusion of supervised and Reinforcement Learning technologies for autonomous navigation of land vehicles in a dynamic and unknown environment. The Faster R-CNN, a supervised learning approach, identifies the ambient environmental obstacles for untroubled maneuver of the autonomous vehicle. Whereas, the training policies of Double Deep Q-Learning, a Reinforcement Learning approach, enable the autonomous agent to learn effective navigation decisions form the dynamic environment. The proposed model is primarily tested in a gaming environment similar to the real-world. It exhibits the overall efficiency and effectiveness in the maneuver of autonomous land vehicles.	Article	FEB 2021	10.3390/s21041468	[]	[]	-1	-1	-1
C	Du, Guodong; Zou, Yuan; Zhang, Xudong; Dong, Guoshun; Yin, Xin	Heuristic Reinforcement Learning Based Overtaking Decision for an Autonomous Vehicle	2021	IFAC PAPERSONLINE		59	66	This paper proposes an intelligent overtaking decision based on the heuristic reinforcement learning method for an autonomous vehicle. The proposed overtaking control focuses on the safety and efficiency of the autonomous vehicle driving. Firstly, the overtaking problem is modeled and the adaptive safe driving area is constructed. Then, a heuristic reinforcement learning method called Heu-Dyna is developed to derive the optimal overtaking decision, which introduces the heuristic planning function. Besides, the generalized correlation coefficient is designed to evaluate the training perfection of the control strategy. The simulation results show that the performance of the proposed method on the rapidity and optimality is superior to the Q-learning method and the Dyna method. Furthermore, the adaptability of the proposed method is validated by applying different driving conditions. Copyright (C) 2021 The Authors.	Proceedings Paper; Early Access		10.1016/j.ifacol.2021.10.141	[]	[]	-1	-1	-1
B	Hsiao-Ting Tseng; Chen-Chiung Hsieh; Wei-Ting Lin; Jyun-Ting Lin	Deep Reinforcement Learning for Collision Avoidance of Autonomous Vehicle	2020	2020 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan)		2 pp.	2 pp.	To save training efforts, reinforcement learning approach is applied to the autonomous vehicle for obstacle avoidance. Therefore, this study is aimed to let the autonomous vehicle to learn from mistakes and readdress its movement accuracy for collision avoidance in working environment. An enhanced learning method Q-learning is used to record and update the Q values for different movement through a table that the autonomous vehicle can use it to determine how and where to move. The Q table is learned through the deep learning neural network which may encounter innumerable situations from the environments and the different actions performed by the autonomous vehicle. In the experiments, the depth camera is adopted as the input device to be not affected by light intensity and road color. The Q table is ready to use after 9000 epochs or about 3.5 hours training. Let the autonomous vehicle run for 3 minutes at a time in three different environments with lights on and off 10 times each. The success rate of obstacle avoidance is as high as 95% which proves the feasibility of proposed approach.	Conference Paper	2020	10.1109/ICCE-Taiwan49838.2020.9258199	[]	[]	-1	-1	-1
C	Pan, Kai; Kong, Weibo; Guo, Xing	A Route Planning for Autonomous Vehicle in 5G and Edge Computing Environment	2022	2022 8TH INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING AND COMMUNICATIONS, BIGCOM		294	303	Route planning have a huge impact on the safe driving and energy efficiency of autonomous vehicle, which is an inevitable part of Internet of Vehicle. In the 5G edge environment, autonomous vehicle needs to communicate with other vehicles and base stations, route planning needs to consider the communication overhead of autonomous vehicle in addition to the driving distance. However, the current route planning methods only consider the shortest path, which cannot comprehensively consider the distance overhead and time cost. To cope with these challenges, this paper proposes an algorithm based on reinforcement learning to solve autonomous vehicle route planning through 5G networks and edge computing(RLVRP), which can obtain the goal of minimizing the driving distance based on minimizing the task processing time and server response time. In addition, we update our route planning strategy according to the dynamic change of network resources. Extensive experimental results show that the proposed algorithm greatly reduces service delay compared with state-of-the-art baselines.	Proceedings Paper	2022	10.1109/BigCom57025.2022.00044	[]	[]	-1	-1	-1
J	Szoke, Laszlo; Aradi, Szilard; Becsi, Tamas; Gaspar, Peter	Skills to Drive: Successor Features for Autonomous Highway Pilot	2022	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS		18707	18718	Reinforcement learning applications are spreading among different domains, including autonomous vehicle control. The diverse situations that can happen during, for instance, at a highway commute are infinite, and with labeled data, the perfect coverage of all use-cases sounds ambitious. However, with the complex tasks and complicated scenarios faced during an autonomous vehicle system design, the credit assignment problem arises. How to construct appropriate objectives for the artificial intelligence to learn and the preferences between the different goals also matter of the designer's choice. This work attempts to tackle the problem by utilizing successor features and providing a possible decomposition of the reward functions, guiding the agent's actions. This method makes the training easier for the agent and enables immediate, profound performance on new combined tasks. Furthermore, with the optimal composition, the desired behavior can be fine-tuned, and as an auxiliary gain, the decomposition empowers different driving styles and makes driving preferences rapidly changeable. We introduce the adaptation of FastRL algorithm to autonomous vehicle domain, meanwhile developing a stabilizing way of using Successor Features, namely DoubleFastRL. We compare our solution for a highway driving scenario with basic agents such as Q-learning having multi-objective training.	Article; Early Access		10.1109/TITS.2022.3150493	[]	[]	-1	-1	-1
C	Mo, Shuojie; Pei, Xiaofei; Chen, Zhenfu	Decision-Making for Oncoming Traffic Overtaking Scenario using Double DQN	2019	2019 3RD CONFERENCE ON VEHICLE CONTROL AND INTELLIGENCE (CVCI)		230	233	Great progress has been made in the field of machine learning in recent years. And learning-based methods have been widely utilized for developing highly autonomous vehicle. To this end, we introduce a reinforcement learning based intelligent autonomous vehicle decision making method for oncoming overtaking scenario. The goal of reinforcement learning is to learn how to take optimal decision in corresponding observations through interactions with the environment using a reward function to estimate whether the decision is good or not. A Double Deep Q-learning (Double DQN) agent was used to learn policies (control strategies) for both longitudinal speed and lane change decision. Prioritized Experience Replay (PER) was used to accelerate convergence of the policies. A two-way 3-car scenario with oncoming traffic was established in SUMO (Simulation of Urban Mobility) to train and test the policies.	Proceedings Paper	2019	10.1109/cvci47823.2019.8951626	[]	[]	-1	-1	-1
C	You, Changxi; Lu, Jianbo; Filev, Dimitar; Tsiotras, Panagiotis	Highway Traffic Modeling and Decision Making for Autonomous Vehicle Using Reinforcement Learning	2018	2018 IEEE INTELLIGENT VEHICLES SYMPOSIUM (IV)	IEEE Intelligent Vehicles Symposium	1227	1232	This paper studies the decision making problem of autonomous vehicles in traffic. We model the interaction between an autonomous vehicle and the environment as a stochastic Markov decision process (MDP) and consider the driving style of an experienced driver as the target to be learned. The road geometry is taken into consideration in the MDP model in order to incorporate more diverse driving styles. By designing the reward function of the MDP, the desired, driving behavior of the autonomous vehicle is obtained using reinforcement learning. Simulated results demonstrate the desired driving behaviors of an autonomous vehicle.	Proceedings Paper	2018		[]	[]	-1	-1	-1
J	Jacinto, Edwar; Martinez, Fernando; Martinez, Fredy	Navigation of Autonomous Vehicles using Reinforcement Learning with Generalized Advantage Estimation	2023	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS		954	959	This study proposes a reinforcement learning ap-proach using Generalized Advantage Estimation (GAE) for autonomous vehicle navigation in complex environments. The method is based on the actor-critic framework, where the actor network predicts actions and the critic network estimates state values. GAE is used to compute the advantage of each action, which is then used to update the actor and critic networks. The approach was evaluated in a simulation of an autonomous vehicle navigating through challenging environments and it was found to effectively learn and improve navigation performance over time. The results suggest GAE as a promising direction for further research in autonomous vehicle navigation in complex environments.	Article	JAN 2023		[]	[]	-1	-1	-1
J	Lu, Chengjie; Shi, Yize; Zhang, Huihui; Zhang, Man; Wang, Tiexin; Yue, Tao; Ali, Shaukat	Learning Configurations of Operating Environment of Autonomous Vehicles to Maximize their Collisions	2023	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING		384	402	Autonomous vehicles must operate safely in their dynamic and continuously-changing environment. However, the operating environment of an autonomous vehicle is complicated and full of various types of uncertainties. Additionally, the operating environment has many configurations, including static and dynamic obstacles with which an autonomous vehicle must avoid collisions. Though various approaches targeting environment configuration for autonomous vehicles have shown promising results, their effectiveness in dealing with a continuous-changing environment is limited. Thus, it is essential to learn realistic environment configurations of continuously-changing environment, under which an autonomous vehicle should be tested regarding its ability to avoid collisions. Featured with agents dynamically interacting with the environment, Reinforcement Learning (RL) has shown great potential in dealing with complicated problems requiring adapting to the environment. To this end, we present an RL-based environment configuration learning approach, i.e., DeepCollision, which intelligently learns environment configurations that lead an autonomous vehicle to crash. DeepCollision employs Deep Q-Learning as the RL solution, and selects collision probability as the safety measure, to construct the reward function. We trained four DeepCollision models and conducted an experiment to compare them with two baselines, i.e., random and greedy. Results show that DeepCollision demonstrated significantly better effectiveness in generating collisions compared with the baselines. We also provide recommendations on configuring DeepCollision with the most suitable time interval based on different road structures.	Article	JAN 1 2023	10.1109/TSE.2022.3150788	[]	[]	-1	-1	-1
J	Zhiqian Qiao; Tyree, Z.; Mudalige, P.; Schneider, J.; Dolan, J.M.	Hierarchical reinforcement learning method for autonomous vehicle behavior planning [arXiv]	2019	arXiv		8 pp.	8 pp.	In this work, we propose a hierarchical reinforcement learning (HRL) structure which is capable of performing autonomous vehicle planning tasks in simulated environments with multiple sub-goals. In this hierarchical structure, the network is capable of 1) learning one task with multiple sub-goals simultaneously; 2) extracting attentions of states according to changing sub-goals during the learning process; 3) reusing the well-trained network of sub-goals for other similar tasks with the same sub-goals. The states are defined as processed observations which are transmitted from the perception system of the autonomous vehicle. A hybrid reward mechanism is designed for different hierarchical layers in the proposed HRL structure. Compared to traditional RL methods, our algorithm is more sample-efficient since its modular design allows reusing the policies of sub-goals across similar tasks. The results show that the proposed method converges to an optimal policy faster than traditional RL methods.	Journal Paper	9 Nov. 2019		[]	[]	-1	-1	-1
B	Sahal, M.; Hidayat, Z.; Saputra, F.D.; Rizqifadiilah, M.A.; Putra, R.A.	Obstacle Avoidance System on Autonomous Car Using D3QN	2023	2023 14th International Conference on Information & Communication Technology and System (ICTS)		199	204	An autonomous vehicle's triumphant and safe navigation, which can circumvent obstacles, necessitates a skill set encompassing steering wheel control, sometimes called obstacle avoidance. One potential approach to address this issue is using a simulation framework wherein an automobile is subjected to various barriers. During this simulation, the sensory input of the car, as well as its corresponding actions, are recorded and analyzed. An alternative approach involves allowing the vehicle to autonomously acquire knowledge to optimize its performance towards the desired objective. The Dueling Deep Double QNetworks (D3QN) approach is a strategy that enables the model to autonomously learn and optimize its performance to attain the most favorable conclusion. The D3QN architecture is a computational framework incorporating Dueling and double-Q processes. The implementation of D3QN is anticipated to result in a reduction in the training time required for an autonomous vehicle. This study is expected to substitute for training an autonomous vehicle.	Conference Paper	2023	10.1109/ICTS58770.2023.10330873	[]	[]	-1	-1	-1
B	Cheng, Y.; Li, W.; Duan, F.; Li, S.E.	Discrete-time Finite Horizon Adaptive Dynamic Programming for Autonomous Vehicle Control	2022	2022 IEEE International Conference on Unmanned Systems (ICUS)		424	9	Nowadays, the autonomous vehicle control has become more and more critical, especially for the trajectory tracking problem. The existing model predictive control method applied to autonomous vehicle can reduce the tracking error. However, it requires online calculation for the model recurrence in long horizon, which causes heavy computational burden. This paper presents a novel discrete-time model predictive control solving framework. A finite horizon adaptive dynamic programming method was proposed to estimate the control policy for trajectory tracking. Under the constraint of self consistent condition, the control policy is fitted through deep neural network as a parameterized function to obtain faster solution. The performance of the proposed method is tested and verified under double lane change conditions via CarSim. The experimental results show that the system can accurately track given reference trajectory with 5000Hz frequency, which is three times faster than that solved by least squares estimation method.	Conference Paper	2022	10.1109/ICUS55513.2022.9987042	[]	[]	-1	-1	-1
C	Tseng, Hsiao-Ting; Hsieh, Chen-Chiung; Lin, Wei-Ting; Lin, Jyun-Ting	Deep Reinforcement Learning for Collision Avoidance of Autonomous Vehicle	2020	2020 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS - TAIWAN (ICCE-TAIWAN)	IEEE International Conference on Consumer Electronics-Taiwan			To save training efforts, reinforcement learning approach is applied to the autonomous vehicle for obstacle avoidance. Therefore, this study is aimed to let the autonomous vehicle to learn from mistakes and readdress its movement accuracy for collision avoidance in working environment. An enhanced learning method Q-learning is used to record and update the Q values for different movement through a table that the autonomous vehicle can use it to determine how and where to move. The Q table is learned through the deep learning neural network which may encounter innumerable situations from the environments and the different actions performed by the autonomous vehicle. In the experiments, the depth camera is adopted as the input device to be not affected by light intensity and road color. The Q table is ready to use after 9000 epochs or about 3.5 hours training. Let the autonomous vehicle run for 3 minutes at a time in three different environments with lights on and off 10 times each. The success rate of obstacle avoidance is as high as 95% which proves the feasibility of proposed approach.	Proceedings Paper	2020	10.1109/icce-taiwan49838.2020.9258199	[]	[]	-1	-1	-1
J	Amini, Alexander; Gilitschenski, Igor; Phillips, Jacob; Moseyko, Julia; Banerjee, Rohan; Karaman, Sertac; Rus, Daniela	Learning Robust Control Policies for End-to-End Autonomous Driving From Data-Driven Simulation	2020	IEEE ROBOTICS AND AUTOMATION LETTERS		1143	1150	In this work, we present a data-driven simulation and training engine capable of learning end-to-end autonomous vehicle control policies using only sparse rewards. By leveraging real, human-collected trajectories through an environment, we render novel training data that allows virtual agents to drive along a continuum of new local trajectories consistent with the road appearance and semantics, each with a different view of the scene. We demonstrate the ability of policies learned within our simulator to generalize to and navigate in previously unseen real-world roads, without access to any human control labels during training. Our results validate the learned policy onboard a full-scale autonomous vehicle, including in previously un-encountered scenarios, such as new roads and novel, complex, near-crash situations. Our methods are scalable, leverage reinforcement learning, and apply broadly to situations requiring effective perception and robust operation in the physical world.	Article	APR 2020	10.1109/LRA.2020.2966414	[]	[]	-1	-1	-1
J	Huang, Kaisi; Wen, Mingyun; Park, Jisun; Sung, Yunsick; Park, Jong Hyuk; Cho, Kyungeun	Enhanced Image Preprocessing Method for an Autonomous Vehicle Agent System	2021	COMPUTER SCIENCE AND INFORMATION SYSTEMS		461	479	Excessive training time is a major issue face when training autonomous vehicle agents with neural networks by using images as input. This paper proposes a deep time-economical Q network (DQN) input image preprocessing method to train an autonomous vehicle agent in a virtual environment. The environmental information is extracted from the virtual environment. A top-view image of the entire environment is then redrawn according to the environmental information. During training of the DQN model, the top-view image is cropped to place the vehicle agent at the center of the cropped image. The current frame top-view image is combined with the images from the previous two training iterations. The DQN model use this combined image as input. The experimental results indicate higher performance and shorter training time for the DQN model trained with the preprocessed images compared with that trained without preprocessing.	Article	APR 2021	10.2298/CSIS200212005H	[]	[]	-1	-1	-1
J	Likas, A; Blekas, K	A reinforcement learning approach based on the fuzzy min-max neural network	1996	NEURAL PROCESSING LETTERS		167	172	The fuzzy min-max neural network constitutes a neural architecture that is based on hyperbox fuzzy sets and can be incrementally trained by appropriately adjusting the number of hyperboxes and their corresponding volumes. Two versions have been proposed: for supervised and unsupervised learning. In this paper a modified approach is presented that is appropriate for reinforcement learning problems with discrete action space and is applied to the difficult task of autonomous vehicle navigation when no a priori knowledge of the enivronment is available. Experimental results indicate that the proposed reinforcement learning network exhibits superior learning behavior compared to conventional reinforcement schemes.	Article	DEC 1996	10.1007/BF00426025	[]	[]	-1	-1	-1
